ID,TIMESTAMP,NDRE_SUM,NDRE_MEAN,NDRE_STD,NDRE_MIN,NDRE_MAX,NDRE_VAR,NDRE_MEDIAN,NDRE_95PERCENTILE,NDVI_SUM,NDVI_MEAN,NDVI_STD,NDVI_MIN,NDVI_MAX,NDVI_VAR,NDVI_MEDIAN,NDVI_95PERCENTILE,GNDVI_SUM,GNDVI_MEAN,GNDVI_STD,GNDVI_MIN,GNDVI_MAX,GNDVI_VAR,GNDVI_MEDIAN,GNDVI_95PERCENTILE,BNDVI_SUM,BNDVI_MEAN,BNDVI_STD,BNDVI_MIN,BNDVI_MAX,BNDVI_VAR,BNDVI_MEDIAN,BNDVI_95PERCENTILE,NDREI_SUM,NDREI_MEAN,NDREI_STD,NDREI_MIN,NDREI_MAX,NDREI_VAR,NDREI_MEDIAN,NDREI_95PERCENTILE,NPCI_SUM,NPCI_MEAN,NPCI_STD,NPCI_MIN,NPCI_MAX,NPCI_VAR,NPCI_MEDIAN,NPCI_95PERCENTILE,GRVI_SUM,GRVI_MEAN,GRVI_STD,GRVI_MIN,GRVI_MAX,GRVI_VAR,GRVI_MEDIAN,GRVI_95PERCENTILE,NGBDI_SUM,NGBDI_MEAN,NGBDI_STD,NGBDI_MIN,NGBDI_MAX,NGBDI_VAR,NGBDI_MEDIAN,NGBDI_95PERCENTILE,TH_SUM,TH_MEAN,TH_STD,TH_MIN,TH_MAX,TH_VAR,TH_MEDIAN,TH_95PERCENTILE,CH_SUM,CH_MEAN,CH_STD,CH_MIN,CH_MAX,CH_VAR,CH_MEDIAN,CH_95PERCENTILE,CV_SUM,CV_MEAN,CV_STD,CV_MIN,CV_MAX,CV_VAR,CV_MEDIAN,CV_95PERCENTILE,CC_%,CC_mt2,CC_STD,CC_MIN,CC_MAX,CC_VAR,CC_MEDIAN,CC_95PERCENTILE
NA,5/27/2024 10:30,8758.652,0.30874026,0.08432123,0.044147104,0.5570842,0.00711007,0.3133646,0.44231632,22751.375,0.80197847,0.07905321,0.6217679,0.9512043,0.00624941,0.816355,0.9087147,16614.77,0.5856642,0.07424126,0.32053155,0.83212376,0.005511764,0.5845904,0.7106185,23199.873,0.81779104,0.052077938,0.6617817,0.9478676,0.002712112,0.8233425,0.89456064,18976.945,0.6689314,0.08040394,0.41987672,0.8534165,0.006464794,0.67828417,0.78541136,19511.252,0.68776494,0.04696207,0.5053274,0.8433022,0.002205436,0.6903039,0.7617715,12141.786,0.4279959,0.11634385,0.02126367,0.67009866,0.013535891,0.4438115,0.5895525,12880.149,0.4540258,0.05724746,0.24,0.61401325,0.003277272,0.45981896,0.5383477,804507.7,28.358814,0.6484073,26.640015,30.279999,0.420432,28.390015,29.399994,9374934,330.49176,0.052410472,330.28067,330.63144,0.002746858,330.4914,330.57574,1195.154,0.04213772,6.68E-06,0.04211081,0.04215553,4.47E-11,0.042137675,0.04214843,74.53607,3.618117,0,0.0001275,0.0001275,0,0.0001275,0.0001275
1,5/27/2024 10:30,8406.607,0.30600604,0.081770696,0.05090385,0.5379811,0.006686446,0.31095442,0.43363148,21979.742,0.8000776,0.07881413,0.62175,0.94373757,0.006211667,0.81381315,0.906428,16078.918,0.5852846,0.07131695,0.34300295,0.81596375,0.005086107,0.584247,0.7060747,22410.113,0.8157447,0.05120656,0.65893966,0.93475986,0.002622112,0.8215218,0.89155453,18331.67,0.6672846,0.080011494,0.4037037,0.85313123,0.00640184,0.67438954,0.78446025,18841.828,0.68585366,0.044675894,0.46600163,0.83406866,0.001995936,0.6871155,0.75759375,11641.518,0.42375854,0.11732863,0.06982649,0.68180084,0.013766007,0.43763304,0.59097975,12337.037,0.44907472,0.05877599,0.23871717,0.61955607,0.003454617,0.4539606,0.53698486,775076.56,28.213375,0.6532693,26.77002,30.580017,0.4267608,28.200012,29.330017,9080454,330.52435,0.050875466,330.28122,330.65582,0.002588313,330.53192,330.5893,1157.5344,0.042141877,6.49E-06,0.04211088,0.04215864,4.21E-11,0.042142842,0.04215016,72.18091,3.5037012,0,0.0001275,0.0001275,0,0.0001275,0.0001275
2,5/27/2024 10:30,5674.2827,0.2561993,0.06517001,0.02750401,0.47259852,0.004247131,0.2556344,0.3633381,16688.996,0.7535195,0.07084444,0.62174875,0.94064903,0.005018935,0.7550971,0.86494744,11807.226,0.5331075,0.061601404,0.30924493,0.7809927,0.003794733,0.52970576,0.6391816,17343.21,0.7830617,0.046543602,0.6367741,0.92050445,0.002166307,0.78293747,0.8577149,13821.137,0.6240329,0.06952205,0.43617404,0.8503282,0.004833316,0.62176967,0.74064076,14687.484,0.6631514,0.041002255,0.49474823,0.80269873,0.001681185,0.6630416,0.7301599,8414.775,0.37993422,0.09473035,0.08094645,0.6499107,0.008973839,0.37816834,0.5367678,9615.387,0.43414134,0.050982077,0.23123123,0.6036923,0.002599172,0.43407,0.51616144,646082.1,29.17113,0.62265044,27.440002,31.52002,0.38769355,29.149994,30.24002,7319862,330.51227,0.06811719,330.28363,330.64484,0.004639951,330.52908,330.5925,933.2505,0.04214034,8.68E-06,0.042111184,0.04215724,7.54E-11,0.04214248,0.042150564,58.19366,2.824604,0,0.0001275,0.0001275,0,0.0001275,0.0001275
3,5/27/2024 10:30,8338.655,0.29506987,0.085338466,0.043398183,0.5333589,0.007282653,0.29953283,0.4287655,22564.322,0.7984518,0.08035327,0.621767,0.9470397,0.006456648,0.8113034,0.9067739,16466.33,0.582672,0.07266087,0.35667965,0.82994056,0.005279602,0.5812782,0.70472234,22909.639,0.8106745,0.05338309,0.5900542,0.93867296,0.002849754,0.81596005,0.88902307,18987.332,0.67188066,0.07982445,0.39213187,0.8564042,0.006371943,0.67824733,0.787605,19344.365,0.6845172,0.0455441,0.37994748,0.8286463,0.002074265,0.68544495,0.756772,11996.121,0.42449257,0.11408345,0.09698658,0.6722421,0.013015033,0.435149,0.5889269,12456.081,0.44076753,0.0573887,0.15694244,0.6230492,0.003293463,0.4451043,0.5266358,809199.25,28.633997,0.7027446,27.01001,31.029999,0.49385,28.580017,29.860016,9341391,330.52267,0.04772788,330.30176,330.63644,0.00227795,330.52777,330.59018,1190.6335,0.04214166,6.09E-06,0.042113498,0.04215617,3.70E-11,0.042142313,0.04215027,74.26916,3.6042137,0,0.0001275,0.0001275,0,0.0001275,0.0001275
4,5/27/2024 10:30,8720.258,0.30106276,0.08717086,0.016118633,0.5502248,0.007598759,0.30729976,0.43737578,23175.67,0.80012244,0.07866952,0.6218046,0.954885,0.006188893,0.8133883,0.9097381,17098.512,0.59031457,0.071928576,0.3771886,0.8488526,0.00517372,0.58837897,0.7141742,23490.598,0.81099373,0.053338874,0.64554614,0.94489324,0.002845035,0.8166971,0.89191306,19422.328,0.67054754,0.078122616,0.42072856,0.8592337,0.006103143,0.6774284,0.788082,19739.027,0.6814758,0.04613954,0.49054265,0.8397167,0.002128857,0.68281746,0.755447,12111.448,0.41813946,0.111968294,0.088962525,0.71756893,0.012536899,0.42886704,0.58280176,12517.756,0.43216965,0.056439035,0.2252352,0.62857145,0.003185365,0.43659246,0.51682067,825892.25,28.513533,0.67466986,27.040009,30.700012,0.45517942,28.5,29.74002,9574196,330.51736,0.05626131,330.27667,330.6518,0.003165335,330.5263,330.59006,1220.4011,0.042140987,7.17E-06,0.042110298,0.042158127,5.15E-11,0.042142127,0.042150255,76.10419,3.6941392,0,0.0001275,0.0001275,0,0.0001275,0.0001275
5,5/27/2024 10:30,8432.653,0.2999979,0.08336198,0.025890563,0.5731169,0.00694922,0.30353943,0.42988992,22370.742,0.79585254,0.07962368,0.6217534,0.9552465,0.006339931,0.80833274,0.9038174,16469.717,0.5859227,0.072042964,0.3447169,0.8259637,0.005190189,0.5827137,0.70718694,22746.564,0.8092294,0.052783836,0.6578981,0.942029,0.002786133,0.81402177,0.886691,18672.686,0.6642909,0.080321655,0.4115134,0.84631705,0.006451569,0.67127436,0.78083014,19087.172,0.67904145,0.046254892,0.5141896,0.83511215,0.002139515,0.6806856,0.75125235,11627.3545,0.4136514,0.111802526,0.105511814,0.6588657,0.012499805,0.42441165,0.57562864,12168.948,0.4329208,0.055571403,0.21659549,0.6319061,0.003088181,0.43704155,0.5165151,804442.8,28.618795,0.6074983,27.110016,30.839996,0.36905417,28.559998,29.619995,9290819,330.5061,0.06158148,330.2511,330.63873,0.003792279,330.514,330.58884,1184.3217,0.04213955,7.85E-06,0.04210704,0.04215646,6.16E-11,0.04214056,0.0421501,73.854805,3.584953,0,0.0001275,0.0001275,0,0.0001275,0.0001275
6,5/27/2024 10:30,9000.592,0.30371642,0.078641534,0.060434654,0.5427158,0.006184491,0.30686644,0.4291427,23680.693,0.79907656,0.07804196,0.62175393,0.9392085,0.006090547,0.8109998,0.90566957,17448.686,0.5887869,0.06934827,0.38257548,0.79656136,0.004809182,0.58658546,0.70675516,24047.41,0.81145,0.05055986,0.65994334,0.9298614,0.002556299,0.8162587,0.8863916,19761.652,0.666835,0.07934961,0.4181342,0.85901165,0.00629636,0.6728135,0.78468215,20151.186,0.679981,0.043917503,0.47050828,0.83908045,0.001928747,0.68098444,0.74991584,12370.266,0.41741958,0.11031239,0.08757147,0.6607529,0.012168822,0.42769343,0.5794086,12868.18,0.4342226,0.05053193,0.25410873,0.5883984,0.002553476,0.4372591,0.5118836,849626.94,28.669651,0.57580495,27.24002,30.600006,0.33155137,28.630005,29.690002,9795317,330.48428,0.039517052,330.2688,330.58633,0.001561598,330.48718,330.54245,1248.3839,0.04213677,5.04E-06,0.042109296,0.04214978,2.54E-11,0.04213714,0.042144187,77.86889,3.7796004,0,0.0001275,0.0001275,0,0.0001275,0.0001275
7,5/27/2024 10:30,7847.0186,0.28780586,0.07951072,0.068121105,0.5287797,0.006321955,0.28562355,0.42007232,21383.42,0.78428024,0.07884641,0.6217684,0.9416174,0.006216756,0.7915175,0.8977613,15524.414,0.5693902,0.070474975,0.3860789,0.8046999,0.004966722,0.56478906,0.69311726,21863.898,0.8019063,0.050555732,0.6535072,0.9248074,0.002555882,0.8043242,0.8799091,17812.795,0.6533178,0.077475004,0.44168147,0.8366279,0.006002376,0.6546976,0.7723875,18382.492,0.6742147,0.041948047,0.51760674,0.81250983,0.001759638,0.6748072,0.74238336,11093.026,0.4068581,0.10635641,0.09334092,0.65534914,0.011311686,0.4108604,0.56819487,11857.599,0.43489957,0.05017922,0.23682076,0.60752106,0.002517954,0.43688092,0.5138501,780058.5,28.610207,0.6830817,27.01001,30.660004,0.4666006,28.660004,29.619995,9010818,330.48148,0.044933647,330.26584,330.5842,0.002019033,330.48328,330.54553,1148.5656,0.042136412,5.73E-06,0.042108916,0.042149507,3.28E-11,0.04213664,0.042144578,71.640724,3.4772975,0,0.0001275,0.0001275,0,0.0001275,0.0001275
8,5/27/2024 10:30,6695.433,0.30556053,0.08246409,0.05622443,0.5559412,0.006800327,0.30629516,0.43715644,17458.568,0.7967565,0.08342409,0.6217625,0.94702667,0.006959579,0.8091573,0.9082409,12819.528,0.58504695,0.07507574,0.347401,0.8093249,0.005636367,0.58313215,0.7106917,17737.443,0.8094857,0.053994536,0.65458983,0.929907,0.00291541,0.81433356,0.888497,14541.858,0.6636469,0.08660073,0.40689835,0.84473646,0.007499686,0.67145383,0.78624016,14823.898,0.6765213,0.04788594,0.44743863,0.81311166,0.002293063,0.6783409,0.75130695,9195.572,0.41965967,0.11548101,0.08101157,0.6542125,0.013335864,0.42881626,0.58565927,9533.848,0.43509778,0.05311828,0.2403576,0.5902169,0.002821552,0.43821192,0.51569206,612272.75,27.942427,0.76423544,25.99002,30.5,0.58405584,27.899994,29.52002,7241567,330.48,0.060324807,330.2532,330.63623,0.003639082,330.4949,330.54926,923.12946,0.042136226,7.69E-06,0.042107306,0.04215614,5.92E-11,0.042138122,0.04214505,56.20341,2.7945013,0,0.0001275,0.0001275,0,0.0001275,0.0001275
9,5/27/2024 10:30,6146.9556,0.30536324,0.0803127,0.07030223,0.51901466,0.00645013,0.3071723,0.4323573,16039.002,0.79677176,0.08329315,0.62178576,0.952035,0.006937749,0.81062186,0.90712655,11772.122,0.5848052,0.07505082,0.35404226,0.8203742,0.005632626,0.5829327,0.7079661,16298.816,0.80967623,0.054502126,0.63958776,0.9300358,0.002970482,0.8160918,0.8870916,13356.941,0.66353494,0.08693656,0.44718266,0.8620584,0.007557966,0.6728442,0.7865685,13627.832,0.67698926,0.04885521,0.501572,0.81984335,0.002386832,0.6799603,0.75114846,8447.313,0.41964015,0.115702406,0.10246227,0.69509774,0.013387047,0.43062982,0.5876161,8776.1455,0.43597347,0.054117195,0.2523719,0.611085,0.002928671,0.44088644,0.5178268,563790.94,28.007511,0.67706394,26.540009,30.070007,0.45841554,27.929993,29.369995,6652601.5,330.4869,0.07069578,330.25748,330.66858,0.004997894,330.50098,330.5747,848.1543,0.042137105,9.01E-06,0.04210785,0.042160265,8.12E-11,0.042138897,0.0421483,51.62263,2.5672002,0,0.0001275,0.0001275,0,0.0001275,0.0001275
